,submission_date,outcome code,outcome year,semester,course,section,outcome score,outcome rating,college,compliance
18141,2022-01-20,S1,U1516,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
34204,2022-01-23,S1,U1516,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
34451,2022-01-20,S1,U1516,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
34934,2022-01-20,S1,U1516,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
6576,2022-04-23,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
12676,2022-03-02,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
14622,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
18141,2022-03-02,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
20629,2022-04-07,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
20635,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
20839,2022-04-29,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
20940,2022-03-10,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
21305,2022-03-02,S3,U1516,SP2022,BIOL1060,1U,0.0,Fail,College of Natural and Applied Sciences,Outcome assessed
21306,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
21320,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
21466,nan,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
21536,2022-03-04,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
21608,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
21701,2022-03-10,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
21725,2022-03-29,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
22159,2022-03-01,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
23264,2022-03-09,S3,U1516,SP2022,KINE1000L,05,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
24588,2022-03-11,S3,U1516,SP2022,KINE1000L,05,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
25833,2022-03-11,S3,U1516,SP2022,KINE1000L,06,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
26187,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
26216,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
27405,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
27600,nan,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
27628,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
27694,2022-05-06,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
27758,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
27919,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
28083,2022-04-24,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
29501,2022-02-23,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
29507,2022-03-10,S3,U1516,SP2022,KINE1000L,05,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
29611,2022-03-08,S3,U1516,SP2022,KINE1000L,02,1.0,Minimum,College of Natural and Applied Sciences,Outcome assessed
30032,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
31205,2022-03-26,S3,U1516,SP2022,KINE1000L,06,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
31546,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
31894,2022-03-01,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
32492,2022-04-13,S3,U1516,SP2022,KINE1000L,02,1.0,Minimum,College of Natural and Applied Sciences,Outcome assessed
33066,2022-02-28,S3,U1516,SP2022,KINE1000L,06,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
33376,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
33926,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
